,AcresBurned,ArchiveYear,Counties,Extinguished,Fatalities,Injuries,Latitude,Longitude,Name,Started
0,257314.0,2013,Tuolumne,2013-09-06T18:30:00Z,0.0,0.0,37.857,-120.086,Rim Fire,2013-08-17T15:25:00Z
1,30274.0,2013,Los Angeles,2013-06-08T18:30:00Z,0.0,0.0,34.585595,-118.423176,Powerhouse Fire,2013-05-30T15:28:00Z
2,27531.0,2013,Riverside,2013-07-30T18:00:00Z,0.0,0.0,33.7095,-116.72885,Mountain Fire,2013-07-15T13:43:00Z
4,24251.0,2013,Ventura,2013-05-11T06:30:00Z,0.0,10.0,0.0,0.0,Springs Fire,2013-05-02T07:01:00Z
6,20292.0,2013,Riverside,2013-08-12T18:00:00Z,0.0,26.0,33.86157,-116.90427,Silver Fire,2013-08-07T14:05:00Z
9,11429.0,2013,Tehama,2013-08-29T16:45:00Z,0.0,5.0,40.04263,-121.85397,Deer Fire,2013-08-23T14:15:00Z
10,8073.0,2013,Shasta,2013-09-15T07:30:00Z,0.0,6.0,40.498332,-122.535496,Clover Fire,2013-09-09T12:32:00Z
11,7055.0,2013,San Diego,2013-07-15T06:15:00Z,0.0,12.0,32.95435,-116.47381,Chariot Fire,2013-07-06T12:55:00Z
12,6965.0,2013,Tehama,2013-05-09T09:00:00Z,0.0,6.0,40.190062,-121.595555,Panther Fire,2013-05-01T09:12:00Z
13,4346.0,2013,Kern,2013-05-21T19:45:00Z,0.0,4.0,34.7861,-118.9411,Grand Fire,2013-05-15T12:50:00Z
14,4346.0,2013,Ventura,2013-05-21T19:45:00Z,0.0,4.0,34.7861,-118.9411,Grand Fire,2013-05-15T12:50:00Z
15,3505.0,2013,Sonoma,2013-11-27T18:15:00Z,0.0,6.0,38.8167,-122.8498,McCabe Fire,2013-11-22T02:04:00Z
16,3166.0,2013,Riverside,2013-05-04T18:30:00Z,0.0,2.0,34.288877,-116.941311,Summit Fire,2013-05-01T12:38:00Z
17,3111.0,2013,Contra Costa,2013-09-14T17:30:00Z,0.0,0.0,37.90757,-121.882582,Morgan Fire,2013-09-08T13:08:00Z
18,2781.0,2013,San Diego,2013-05-26T17:45:00Z,0.0,5.0,33.12111,-116.52579,San Felipe Fire,2013-05-23T12:20:00Z
19,2462.0,2013,Butte,2013-08-22T18:00:00Z,0.0,5.0,39.446268,-121.38236,Swedes Fire,2013-08-16T16:37:00Z
23,1708.0,2013,Mariposa,2013-06-26T11:15:00Z,0.0,1.0,37.58202,-119.91071,Carstens Fire,2013-06-16T14:12:00Z
24,1383.0,2013,Riverside,2013-08-09T18:45:00Z,0.0,0.0,33.62236,-117.40288,Falls Fire,2013-08-05T10:10:00Z
25,1271.0,2013,San Diego,2013-05-31T06:15:00Z,0.0,6.0,33.04458,-116.5209,General Fire,2013-05-26T12:04:00Z
29,712.0,2013,Kern,2013-07-22T18:45:00Z,0.0,5.0,34.882,-118.9194,Rancho Fire,2013-07-19T12:00:00Z
30,712.0,2013,Los Angeles,2013-05-18T19:00:00Z,0.0,0.0,34.49149,-118.610044,Lake Fire,2013-05-17T13:23:00Z
31,612.0,2013,Kern,2013-07-25T18:30:00Z,0.0,0.0,34.90327,-118.93388,Water Fire,2013-07-23T09:15:00Z
33,534.0,2013,San Bernardino,2013-07-01T06:00:00Z,0.0,0.0,34.071556,-117.048397,Mills Fire,2013-06-28T14:30:00Z
35,510.0,2013,Riverside,2013-05-05T18:45:00Z,0.0,0.0,33.894055,-116.855019,Gorgonio Fire,2013-05-04T11:43:00Z
36,502.0,2013,Modoc,2013-07-05T18:30:00Z,0.0,0.0,41.2415,-121.035,Fox Fire (formally 3-7 Fire),2013-07-03T22:56:00Z
38,492.0,2013,Contra Costa,2013-07-01T18:40:00Z,0.0,0.0,37.96866,-121.91453,Kirker Fire,2013-07-01T13:19:00Z
39,482.0,2013,Madera,2013-06-18T19:30:00Z,0.0,0.0,37.015575,-119.78106,Rolling Fire,2013-06-16T18:17:00Z
41,406.0,2013,Inyo,2013-02-28T20:00:00Z,0.0,2.0,36.602575,-118.01651,River Fire,2013-02-24T08:16:00Z
42,376.0,2013,Napa,2013-10-04T16:55:00Z,0.0,0.0,38.628,-122.289,Putah Fire,2013-10-03T20:33:00Z
43,354.0,2013,San Benito,2013-05-03T18:45:00Z,0.0,0.0,37.160346,-120.937494,Tres Pinos Fire,2013-05-03T11:42:00Z
44,311.0,2013,Riverside,2013-03-02T19:00:00Z,0.0,0.0,0.0,0.0,Jurupa Fire,2013-02-28T16:43:00Z
45,305.0,2013,Butte,2013-10-05T22:00:00Z,0.0,0.0,39.439,-121.497,Summit Fire,2013-10-04T17:37:00Z
