,Unnamed: 0,AcresBurned,ArchiveYear,Counties,Extinguished,Fatalities,Injuries,Latitude,Longitude,Name,Started
0,0,257314.0,2013,Tuolumne,2013-09-06T18:30:00Z,0.0,0.0,37.857,-120.086,Rim Fire,2013-08-17T15:25:00Z
1,1,30274.0,2013,Los Angeles,2013-06-08T18:30:00Z,0.0,0.0,34.585595,-118.423176,Powerhouse Fire,2013-05-30T15:28:00Z
2,2,27531.0,2013,Riverside,2013-07-30T18:00:00Z,0.0,0.0,33.7095,-116.72885,Mountain Fire,2013-07-15T13:43:00Z
4,6,20292.0,2013,Riverside,2013-08-12T18:00:00Z,0.0,26.0,33.86157,-116.90427,Silver Fire,2013-08-07T14:05:00Z
5,9,11429.0,2013,Tehama,2013-08-29T16:45:00Z,0.0,5.0,40.04263,-121.85397,Deer Fire,2013-08-23T14:15:00Z
6,10,8073.0,2013,Shasta,2013-09-15T07:30:00Z,0.0,6.0,40.498332,-122.535496,Clover Fire,2013-09-09T12:32:00Z
8,12,6965.0,2013,Tehama,2013-05-09T09:00:00Z,0.0,6.0,40.190062,-121.595555,Panther Fire,2013-05-01T09:12:00Z
9,13,4346.0,2013,Kern,2013-05-21T19:45:00Z,0.0,4.0,34.7861,-118.9411,Grand Fire,2013-05-15T12:50:00Z
10,14,4346.0,2013,Ventura,2013-05-21T19:45:00Z,0.0,4.0,34.7861,-118.9411,Grand Fire,2013-05-15T12:50:00Z
11,15,3505.0,2013,Sonoma,2013-11-27T18:15:00Z,0.0,6.0,38.8167,-122.8498,McCabe Fire,2013-11-22T02:04:00Z
12,16,3166.0,2013,Riverside,2013-05-04T18:30:00Z,0.0,2.0,34.288877,-116.941311,Summit Fire,2013-05-01T12:38:00Z
13,17,3111.0,2013,Contra Costa,2013-09-14T17:30:00Z,0.0,0.0,37.90757,-121.882582,Morgan Fire,2013-09-08T13:08:00Z
15,19,2462.0,2013,Butte,2013-08-22T18:00:00Z,0.0,5.0,39.446268,-121.38236,Swedes Fire,2013-08-16T16:37:00Z
16,23,1708.0,2013,Mariposa,2013-06-26T11:15:00Z,0.0,1.0,37.58202,-119.91071,Carstens Fire,2013-06-16T14:12:00Z
17,24,1383.0,2013,Riverside,2013-08-09T18:45:00Z,0.0,0.0,33.62236,-117.40288,Falls Fire,2013-08-05T10:10:00Z
19,29,712.0,2013,Kern,2013-07-22T18:45:00Z,0.0,5.0,34.882,-118.9194,Rancho Fire,2013-07-19T12:00:00Z
20,30,712.0,2013,Los Angeles,2013-05-18T19:00:00Z,0.0,0.0,34.49149,-118.610044,Lake Fire,2013-05-17T13:23:00Z
21,31,612.0,2013,Kern,2013-07-25T18:30:00Z,0.0,0.0,34.90327,-118.93388,Water Fire,2013-07-23T09:15:00Z
22,33,534.0,2013,San Bernardino,2013-07-01T06:00:00Z,0.0,0.0,34.071556,-117.048397,Mills Fire,2013-06-28T14:30:00Z
23,35,510.0,2013,Riverside,2013-05-05T18:45:00Z,0.0,0.0,33.894055,-116.855019,Gorgonio Fire,2013-05-04T11:43:00Z
24,36,502.0,2013,Modoc,2013-07-05T18:30:00Z,0.0,0.0,41.2415,-121.035,Fox Fire (formally 3-7 Fire),2013-07-03T22:56:00Z
25,38,492.0,2013,Contra Costa,2013-07-01T18:40:00Z,0.0,0.0,37.96866,-121.91453,Kirker Fire,2013-07-01T13:19:00Z
26,39,482.0,2013,Madera,2013-06-18T19:30:00Z,0.0,0.0,37.015575,-119.78106,Rolling Fire,2013-06-16T18:17:00Z
27,41,406.0,2013,Inyo,2013-02-28T20:00:00Z,0.0,2.0,36.602575,-118.01651,River Fire,2013-02-24T08:16:00Z
28,42,376.0,2013,Napa,2013-10-04T16:55:00Z,0.0,0.0,38.628,-122.289,Putah Fire,2013-10-03T20:33:00Z
29,43,354.0,2013,San Benito,2013-05-03T18:45:00Z,0.0,0.0,37.160346,-120.937494,Tres Pinos Fire,2013-05-03T11:42:00Z
31,45,305.0,2013,Butte,2013-10-05T22:00:00Z,0.0,0.0,39.439,-121.497,Summit Fire,2013-10-04T17:37:00Z
32,46,303.0,2013,San Joaquin,2013-05-30T13:25:00Z,0.0,0.0,38.04993,-120.90325,Shelton Fire,2013-05-30T11:20:00Z
33,47,298.0,2013,Butte,2013-06-03T20:00:00Z,0.0,0.0,39.434183,-121.576804,Lone Fire,2013-06-03T13:49:00Z
35,49,274.0,2013,Contra Costa,2013-07-01T18:30:00Z,0.0,0.0,39.90465,-121.74367,Concord Fire,2013-07-01T15:41:00Z
36,50,274.0,2013,Madera,2013-05-01T07:00:00Z,0.0,0.0,37.116295,-119.635004,Gold Fire,2013-04-30T12:59:00Z
38,54,240.0,2013,Alameda,2013-06-08T13:25:00Z,0.0,0.0,37.775057,-121.737213,Vasco Fire,2013-06-08T10:16:00Z
39,55,237.0,2013,Placer,2013-06-13T14:15:00Z,0.0,0.0,38.729297,-121.380862,PFE Fire,2013-06-13T11:28:00Z
40,57,217.0,2013,Glenn,2013-05-05T18:00:00Z,0.0,0.0,39.514139,-122.560862,306 Fire,2013-05-01T19:00:00Z
41,60,200.0,2013,Tehama,2013-07-04T10:30:00Z,0.0,0.0,40.012398,-122.079871,Vina Fire,2013-07-04T07:30:00Z
42,61,196.0,2013,Shasta,2013-08-23T19:15:00Z,0.0,0.0,40.5445,-121.3754,Burney Lightning Series (Warner Fire),2013-08-19T17:48:00Z
43,62,195.0,2013,Tehama,2013-07-19T15:00:00Z,0.0,0.0,39.961309,-122.330879,Paskenta Fire,2013-07-19T13:32:00Z
44,63,190.0,2013,Napa,2013-11-23T18:30:00Z,0.0,0.0,38.382,-122.311,Silverado Fire,2013-11-21T21:39:00Z
45,64,170.0,2013,Santa Barbara,2013-05-29T10:30:00Z,0.0,0.0,34.611824,-120.074655,Olive Fire,2013-05-28T15:24:00Z
46,65,163.0,2013,Yolo,2013-11-04T15:35:00Z,0.0,0.0,38.67479,-122.08725,Capay Fire,2013-11-04T11:41:00Z
47,66,163.0,2013,El Dorado,2013-07-19T17:15:00Z,0.0,0.0,38.63987,-121.08438,50 Fire,2013-07-19T14:12:00Z
48,67,163.0,2013,Sacramento,2013-07-19T17:15:00Z,0.0,0.0,38.63987,-121.08438,50 Fire,2013-07-19T14:12:00Z
49,68,159.0,2013,Sonoma,2013-10-05T07:45:00Z,0.0,0.0,38.34599,-122.6503,Crane Fire,2013-10-04T12:25:00Z
50,69,158.0,2013,Sonoma,2013-07-26T17:45:00Z,0.0,0.0,38.17693,-122.51253,Lakeville Fire,2013-07-26T13:45:00Z
52,71,150.0,2013,Riverside,2013-07-17T07:45:00Z,0.0,0.0,33.990128,-117.164997,Redlands Fire,2013-07-16T17:48:00Z
53,72,150.0,2013,Stanislaus,2013-07-13T21:45:00Z,0.0,0.0,37.436,-121.1955,Diablo Fire,2013-07-12T15:35:00Z
54,73,150.0,2013,Fresno,2013-06-25T17:15:00Z,0.0,0.0,36.7218,-119.2248,George Fire,2013-06-25T13:36:00Z
56,75,149.0,2013,Los Angeles,2013-05-29T15:30:00Z,0.0,0.0,34.419284,-118.58688,Magic Fire,2013-05-28T11:30:00Z
57,77,125.0,2013,Sonoma,2013-05-03T06:15:00Z,0.0,0.0,38.638828,-122.655616,Yellow Fire,2013-05-01T02:01:00Z
58,78,124.0,2013,Solano,2013-06-18T22:30:00Z,0.0,0.0,38.08744,-122.13802,California Fire,2013-06-18T15:18:00Z
59,79,124.0,2013,Merced,2013-06-05T08:30:00Z,0.0,0.0,37.03776,-121.006939,152 Fire,2013-06-04T15:42:00Z
60,80,124.0,2013,Riverside,2013-05-25T23:00:00Z,0.0,0.0,33.963591,-117.187934,Smiley Fire,2013-05-25T14:59:00Z
61,81,120.0,2013,Lake,2013-11-10T18:30:00Z,0.0,0.0,38.882214,-122.567525,Cantwell Fire,2013-11-08T13:42:00Z
62,82,116.0,2013,El Dorado,2013-08-16T17:55:00Z,0.0,0.0,38.682378,-120.839075,Union Fire,2013-08-16T13:55:00Z
63,84,108.0,2013,Fresno,2013-06-13T21:30:00Z,0.0,0.0,36.772425,-119.628389,Clinton Fire,2013-06-13T11:54:00Z
64,85,105.0,2013,Monterey,2013-06-29T18:30:00Z,0.0,0.0,36.1531,-120.8973,Freeman Fire,2013-06-29T14:09:00Z
65,87,100.0,2013,Tuolumne,2013-06-02T16:55:00Z,0.0,0.0,37.91529,-120.33313,Murphy Fire,2013-06-02T13:30:00Z
67,89,98.0,2013,Mendocino,2013-09-29T18:15:00Z,0.0,0.0,38.9252,-122.966,Highland Fire,2013-09-28T13:57:00Z
68,92,97.0,2013,Lassen,2013-08-12T09:30:00Z,0.0,0.0,40.88886,-120.958126,Coyote Fire,2013-08-09T15:51:00Z
69,93,96.0,2013,Amador,2013-06-13T09:45:00Z,0.0,0.0,38.27783,-120.966016,Roadrunner Fire,2013-06-12T16:43:00Z
70,94,94.0,2013,San Luis Obispo,2013-09-24T17:30:00Z,0.0,0.0,35.4393,-120.8358,Creek Fire,2013-09-24T03:20:00Z
71,95,92.0,2013,Butte,2013-08-04T14:45:00Z,0.0,2.0,39.6612,-121.50354,Branch Fire,2013-08-01T16:01:00Z
72,96,91.0,2013,Madera,2013-05-20T19:10:00Z,0.0,0.0,37.1927,-119.7917,Lilly 2 Fire,2013-05-19T15:07:00Z
73,97,90.0,2013,Riverside,2013-05-21T19:30:00Z,0.0,0.0,33.9582,-116.6534,Water Fire,2013-05-21T14:16:00Z
74,98,85.0,2013,San Luis Obispo,2013-07-07T22:00:00Z,0.0,0.0,35.62743,-120.83417,Adelaida Fire,2013-07-07T13:16:00Z
75,99,82.0,2013,Mendocino,2013-11-22T17:30:00Z,0.0,0.0,39.0442,-123.1478,Retek Fire,2013-11-22T10:06:00Z
76,100,80.0,2013,Butte,2013-09-01T18:00:00Z,0.0,1.0,39.731878,-121.713938,Centerville Fire,2013-08-31T17:23:00Z
79,103,75.0,2013,San Bernardino,2013-07-26T18:15:00Z,0.0,0.0,34.316,-117.352,Silverwood Fire,2013-07-25T15:09:00Z
80,104,75.0,2013,Madera,2013-06-14T16:30:00Z,0.0,0.0,37.169379,-119.75636,Revis Fire,2013-06-12T16:40:00Z
81,105,75.0,2013,San Bernardino,2013-05-15T08:15:00Z,0.0,1.0,34.1834,-117.4408,Lytle Fire,2013-05-13T13:30:00Z
82,106,75.0,2013,Napa,2013-05-01T17:15:00Z,0.0,0.0,38.441792,-122.350844,Silverado Fire,2013-04-30T23:44:00Z
83,107,73.0,2013,San Bernardino,2013-09-12T08:45:00Z,0.0,0.0,34.003151,-117.106075,Liveoak Fire,2013-09-11T16:57:00Z
84,108,73.0,2013,Yuba,2013-07-08T17:30:00Z,0.0,0.0,39.206,-121.31634,McGanney Fire,2013-07-08T09:59:00Z
86,110,70.0,2013,Lake,2013-08-18T18:30:00Z,0.0,0.0,39.013682,-122.491894,Double Fire,2013-08-16T17:57:00Z
87,112,64.0,2013,Ventura,2013-11-15T16:00:00Z,0.0,0.0,34.384,-119.13249,Wheeler Fire,2013-11-14T11:05:00Z
88,114,60.0,2013,Riverside,2013-08-04T18:00:00Z,0.0,0.0,33.91027,-116.99895,Relay Fire,2013-08-04T16:29:00Z
89,115,52.0,2013,Nevada,2013-08-31T21:30:00Z,0.0,0.0,39.333401,-121.107022,Tyler Fire,2013-08-31T14:42:00Z
90,116,51.0,2013,San Luis Obispo,2013-11-09T17:00:00Z,0.0,0.0,35.457978,-120.751555,Toro Fire,2013-11-08T10:30:00Z
91,117,50.0,2013,Lake,2013-11-24T08:45:00Z,0.0,0.0,39.0448,-122.7656,Bruner Fire,2013-11-23T12:04:00Z
92,118,50.0,2013,Siskiyou,2013-08-15T17:00:00Z,0.0,0.0,41.923323,-122.578393,Cottonwood Fire,2013-08-15T14:40:00Z
93,119,50.0,2013,Santa Clara,2013-07-12T17:45:00Z,0.0,0.0,37.1438,-121.7804,Uvas Fire,2013-07-12T13:09:00Z
94,120,50.0,2013,Alameda,2013-07-04T11:30:00Z,0.0,0.0,37.7393,-121.5869,Grant Fire,2013-07-04T10:00:00Z
95,121,50.0,2013,San Luis Obispo,2013-05-25T18:45:00Z,0.0,0.0,35.5123,-120.6368,Homestead Fire,2013-05-25T17:35:00Z
96,122,46.0,2013,Calaveras,2013-08-19T07:10:00Z,0.0,2.0,38.06231,-120.45233,Bridges Fire,2013-08-17T10:11:00Z
97,123,46.0,2013,Fresno,2013-06-19T08:45:00Z,0.0,0.0,37.03087,-119.463757,Sierra Fire,2013-06-17T14:41:00Z
98,124,45.0,2013,Mendocino,2013-07-23T16:00:00Z,0.0,0.0,38.980846,-123.067671,Pratt Fire,2013-07-23T13:29:00Z
99,126,43.0,2013,Shasta,2013-07-09T15:00:00Z,0.0,0.0,40.373,-122.7338,Fiddler Fire,2013-07-09T11:59:00Z
100,127,42.0,2013,Riverside,2013-06-08T19:00:00Z,0.0,0.0,33.96936,-117.1265,Viper Fire,2013-06-08T15:37:00Z
101,128,41.0,2013,San Mateo,2013-09-07T20:00:00Z,0.0,0.0,37.667295,-122.427285,Chestnut Fire,2013-09-07T13:55:00Z
102,129,40.0,2013,Santa Clara,2013-12-31T16:00:00Z,0.0,0.0,37.342186,-121.717706,Grant Fire,2013-12-31T05:30:00Z
103,130,40.0,2013,Orange,2013-10-09T08:00:00Z,0.0,0.0,33.7655,-117.6649,Baker Fire,2013-10-06T10:52:00Z
105,132,40.0,2013,Riverside,2013-08-16T21:00:00Z,0.0,0.0,33.570291,-116.10815,Pierce Fire,2013-08-16T13:31:00Z
107,134,40.0,2013,Riverside,2013-07-20T19:30:00Z,0.0,0.0,33.9634,-117.2508,Heacock Fire,2013-07-19T16:21:00Z
108,135,40.0,2013,Riverside,2013-06-15T08:00:00Z,0.0,0.0,34.001745,-117.302057,Palmyrita Fire,2013-06-14T13:47:00Z
109,136,40.0,2013,Riverside,2013-05-17T08:30:00Z,0.0,0.0,33.655638,-116.161201,54 Fire,2013-05-16T13:48:00Z
110,137,38.0,2013,El Dorado,2013-08-24T11:45:00Z,0.0,0.0,38.89555,-120.84716,Empire Fire,2013-08-24T14:54:00Z
111,138,38.0,2013,Lake,2013-08-07T18:30:00Z,0.0,0.0,39.1591,-122.5906,Indian Fire,2013-08-07T12:35:00Z
112,139,38.0,2013,Alameda,2013-07-06T14:30:00Z,0.0,0.0,37.74241,-121.86216,Fallon Fire,2013-07-06T13:09:00Z
113,140,35.0,2013,Fresno,2013-06-13T21:30:00Z,0.0,0.0,36.763367,-119.558244,Michelle Fire,2013-06-13T15:54:00Z
114,141,35.0,2013,San Luis Obispo,2013-05-20T19:10:00Z,0.0,0.0,35.49864,-120.91375,Cottontail Fire,2013-05-20T15:45:00Z
116,143,33.0,2013,Shasta,2013-11-07T19:45:00Z,0.0,0.0,40.483662,-122.140914,Dersch Fire,2013-11-07T16:10:00Z
117,144,31.0,2013,Calaveras,2013-07-23T15:10:00Z,0.0,0.0,37.965364,-120.696362,Chuckwagon Fire,2013-07-22T12:34:00Z
118,145,30.0,2013,Lake,2013-09-15T17:14:00Z,0.0,0.0,38.9777,-122.683,Lakeshore Fire,2013-09-15T19:45:00Z
119,146,30.0,2013,Lake,2013-06-06T07:00:00Z,0.0,0.0,38.99233,-122.703193,Lake Fire,2013-06-05T16:05:00Z
120,148,28.0,2013,Sonoma,2013-06-14T15:45:00Z,0.0,0.0,38.4229,-122.0437,Sonoma-Lake-Napa Unit Lightning Fires,2013-06-10T00:46:00Z
121,149,28.0,2013,Solano,2013-06-14T15:45:00Z,0.0,0.0,38.4229,-122.0437,Sonoma-Lake-Napa Unit Lightning Fires,2013-06-10T00:46:00Z
122,150,28.0,2013,Lake,2013-06-14T15:45:00Z,0.0,0.0,38.4229,-122.0437,Sonoma-Lake-Napa Unit Lightning Fires,2013-06-10T00:46:00Z
123,151,28.0,2013,Colusa,2013-06-14T15:45:00Z,0.0,0.0,38.4229,-122.0437,Sonoma-Lake-Napa Unit Lightning Fires,2013-06-10T00:46:00Z
124,152,27.0,2013,Shasta,2013-08-14T20:35:00Z,0.0,0.0,40.473356,-122.48259,Cloverdale Fire,2013-08-14T15:37:00Z
126,154,25.0,2013,Lake,2013-06-20T13:15:00Z,0.0,0.0,38.98058,-122.81796,Mount Fire,2013-06-20T14:29:00Z
127,155,25.0,2013,Riverside,2013-05-20T18:50:00Z,0.0,0.0,33.96201,-116.907213,Cherry Fire,2013-05-20T13:47:00Z
128,156,23.0,2013,Lake,2013-11-24T18:45:00Z,0.0,0.0,38.9289,-122.5818,Dam Fire,2013-11-23T14:17:00Z
130,158,15.0,2013,Riverside,2013-07-19T19:30:00Z,0.0,0.0,33.94528,-117.09306,Gilman Fire,2013-07-19T17:31:00Z
132,162,97717.0,2014,El Dorado,2014-10-09T17:20:00Z,0.0,12.0,38.805437,-120.629714,King Fire,2014-09-13T16:32:00Z
133,164,39736.0,2014,Shasta,2014-08-15T14:00:00Z,0.0,0.0,40.901,-121.368,Bald Fire,2014-07-30T20:15:00Z
