Fire,Latitude,Longitude,Started,Precipitation30,Precipitation60,Precipitation90,Humidity,Temperature
1,37.857,-120.086,2013-08-17 15:25:00,0.0,0.0001666666666666,0.0013333333333333,39.0,79.8
1,34.585595,-118.423176,2013-05-30 15:28:00,0.0093333333333333,0.0046666666666666,0.0105555555555555,39.0,72.8
1,33.7095,-116.72885,2013-07-15 13:43:00,0.0,0.0,0.0,23.0,94.0
1,33.86157,-116.90427,2013-08-07 14:05:00,0.0053333333333333,0.0091666666666666,0.0104444444444444,39.0,72.4
1,40.04263,-121.85397,2013-08-23 14:15:00,0.0003333333333333,0.0083333333333333,0.0067777777777777,58.0,72.5
1,40.498332,-122.535496,2013-09-09 12:32:00,0.0,0.0,0.025,25.0,83.9
1,40.190062,-121.595555,2013-05-01 09:12:00,0.011,0.0181666666666666,0.0137777777777777,15.0,76.0
1,34.7861,-118.9411,2013-05-15 12:50:00,0.0146666666666666,0.012,0.0233333333333333,39.0,75.5
1,34.7861,-118.9411,2013-05-15 12:50:00,0.0146666666666666,0.012,0.0233333333333333,39.0,75.5
1,38.8167,-122.8498,2013-11-22 02:04:00,0.034,0.017,0.0113333333333333,17.0,57.6
1,34.288877,-116.941311,2013-05-01 12:38:00,0.001,0.0081666666666666,0.0183333333333333,23.0,46.4
1,37.90757,-121.882582,2013-09-08 13:08:00,0.0,0.0,0.0,52.0,71.9
1,39.446268,-121.38236,2013-08-16 16:37:00,0.0003333333333333,0.0101666666666666,0.0072222222222222,36.0,81.0
1,37.58202,-119.91071,2013-06-16 14:12:00,0.0036666666666666,0.0021666666666666,0.0122222222222222,38.0,73.6
1,33.62236,-117.40288,2013-08-05 10:10:00,0.0003333333333333,0.0005,0.0011111111111111,70.0,66.6
1,34.882,-118.9194,2013-07-19 12:00:00,0.0013333333333333,0.0033333333333333,0.0071111111111111,33.0,82.8
1,34.49149,-118.610044,2013-05-17 13:23:00,0.0093333333333333,0.0046666666666666,0.0124444444444444,64.0,61.9
1,34.90327,-118.93388,2013-07-23 09:15:00,0.0,0.0026666666666666,0.0071111111111111,40.0,85.1
1,34.071556,-117.048397,2013-06-28 14:30:00,0.0086666666666666,0.0215,0.015,36.0,84.6
1,33.894055,-116.855019,2013-05-04 11:43:00,0.0046666666666666,0.0175,0.0174444444444444,30.0,66.0
1,41.2415,-121.035,2013-07-03 22:56:00,0.021,0.0265,0.0278888888888888,55.0,76.7
1,37.96866,-121.91453,2013-07-01 13:19:00,0.0,0.0,0.0054444444444444,37.0,86.8
1,37.015575,-119.78106,2013-06-16 18:17:00,0.0,0.0011666666666666,0.0062222222222222,34.0,75.2
1,36.602575,-118.01651,2013-02-24 08:16:00,0.0043333333333333,0.0051666666666666,0.0037777777777777,29.0,41.0
1,38.628,-122.289,2013-10-03 20:33:00,0.0,0.0,0.0,32.0,61.9
